Frame_ID,Pothole_ID,Area_cm2,Center_Coordinate
1,1,1952.3,"(81, 317)"
2,1,1940.4,"(82, 316)"
3,1,1956.5,"(82, 316)"
4,1,1960.7,"(82, 316)"
5,1,1970.3,"(82, 317)"
6,1,1970.2,"(82, 316)"
7,1,1964.0,"(82, 316)"
8,1,1952.5,"(82, 316)"
9,1,1975.3,"(82, 316)"
10,1,1962.0,"(82, 316)"
11,1,1962.4,"(82, 316)"
12,1,1968.8,"(82, 316)"
13,1,1960.5,"(82, 316)"
14,1,1951.2,"(81, 317)"
15,1,1955.0,"(82, 317)"
16,1,1957.2,"(82, 316)"
17,1,1952.2,"(82, 317)"
18,1,1956.2,"(82, 317)"
19,1,1953.1,"(82, 317)"
20,1,1916.0,"(81, 317)"
21,1,1911.5,"(81, 317)"
22,1,1908.7,"(81, 317)"
23,1,1908.8,"(81, 317)"
24,1,1901.8,"(81, 317)"
25,1,1896.8,"(81, 317)"
26,1,1888.8,"(81, 317)"
27,1,1930.2,"(81, 316)"
28,1,1891.8,"(80, 319)"
29,1,1904.1,"(80, 318)"
30,1,1898.4,"(81, 318)"
31,1,2068.6,"(87, 308)"
32,1,2100.7,"(87, 307)"
33,1,2067.5,"(87, 308)"
34,1,2057.5,"(87, 308)"
35,1,2068.4,"(87, 307)"
36,1,2078.6,"(86, 308)"
37,1,2072.2,"(86, 307)"
38,1,2086.3,"(85, 309)"
39,1,2097.2,"(85, 309)"
40,1,2100.9,"(85, 308)"
41,1,2114.2,"(85, 310)"
42,1,2121.8,"(86, 308)"
43,1,2129.4,"(86, 308)"
44,1,2138.2,"(86, 308)"
45,1,2266.4,"(81, 309)"
46,1,2235.4,"(82, 308)"
47,1,2224.8,"(82, 309)"
48,1,2218.9,"(82, 308)"
49,1,2238.2,"(81, 307)"
50,1,2196.3,"(83, 302)"
51,1,2323.6,"(79, 306)"
52,1,2332.3,"(80, 306)"
53,1,2277.9,"(79, 303)"
54,1,2243.9,"(80, 301)"
55,1,2161.7,"(81, 296)"
56,1,2167.4,"(82, 293)"
57,1,2142.1,"(82, 286)"
58,1,2075.6,"(82, 282)"
59,1,2115.0,"(82, 277)"
60,1,2005.8,"(84, 271)"
61,1,1979.1,"(84, 267)"
62,1,1934.5,"(84, 260)"
63,1,1952.5,"(87, 251)"
64,1,1955.7,"(89, 243)"
65,1,1944.7,"(90, 237)"
66,1,1955.8,"(93, 228)"
67,1,1942.9,"(94, 220)"
68,1,1880.8,"(96, 210)"
69,1,1868.5,"(99, 199)"
70,1,1799.4,"(98, 193)"
71,1,1805.3,"(100, 179)"
72,1,1730.5,"(104, 166)"
73,1,1697.7,"(104, 156)"
74,1,1699.1,"(108, 142)"
75,1,1466.9,"(107, 135)"
76,1,1438.8,"(110, 123)"
77,1,1398.7,"(114, 107)"
78,1,1402.9,"(117, 93)"
79,1,1393.8,"(119, 82)"
80,1,1231.8,"(120, 72)"
81,1,1076.6,"(121, 64)"
718,1,1628.0,"(933, 743)"
719,1,2887.7,"(926, 706)"
720,1,3720.0,"(924, 665)"
721,1,3542.8,"(914, 590)"
722,1,3306.4,"(905, 513)"
723,1,2991.4,"(897, 443)"
724,1,2772.7,"(888, 370)"
725,1,2599.8,"(882, 305)"
726,1,2469.3,"(874, 243)"
727,1,2234.2,"(869, 182)"
728,1,2048.7,"(862, 125)"
729,1,1738.4,"(856, 82)"
730,1,1089.7,"(855, 52)"
735,1,1593.7,"(1003, 726)"
736,1,1803.6,"(992, 660)"
